id1,id2,score
59085,84132,1.000000238418579
53109,58135,1.0000001192092896
8171,111173,1.0
47641,112868,1.0
63730,82301,0.9999998211860657
53866,116033,0.9999997615814209
21998,52527,0.999555230140686
4685,116108,0.998984694480896
22006,52459,0.9986990094184875
22797,58149,0.9985517263412476
20118,56245,0.9985090494155884
22002,52509,0.9984457492828369
21328,58348,0.998172402381897
22154,57596,0.998114824295044
46427,52435,0.9980660676956177
45609,51341,0.9979289174079895
46191,56326,0.9979236125946045
32425,52643,0.9972957372665405
21999,52490,0.997244119644165
11124,20545,0.9971942901611328
32254,51689,0.996986985206604
47079,116385,0.9965574741363525
56298,116604,0.9965276718139648
21567,52645,0.9964812994003296
5830,40549,0.9964065551757812
52016,88469,0.9962245225906372
22140,57582,0.9962207078933716
21551,52553,0.996132493019104
96031,110944,0.996057391166687
13055,47737,0.9959430694580078
21544,52512,0.995868980884552
52911,116590,0.9952788352966309
46392,52334,0.9948867559432983
30942,50486,0.9948698282241821
21037,59112,0.9947446584701538
44757,56506,0.9947365522384644
9686,80110,0.9943007826805115
42009,88198,0.9941807389259338
21270,51845,0.9940766096115112
27487,46227,0.9937818646430969
44753,56256,0.9936989545822144
27520,46474,0.9935089349746704
20264,59509,0.9933029413223267
156,43452,0.9932782053947449
42644,80091,0.9931816458702087
20618,55343,0.9931451082229614
59,5140,0.9930897355079651
32448,51748,0.9930684566497803
46048,54538,0.9929736256599426
22649,43734,0.9929693937301636
21540,52500,0.9926653504371643
51509,110913,0.9925942420959473
42275,111167,0.9925847053527832
64366,92534,0.9922714829444885
34498,95526,0.9922456741333008
76460,98386,0.9922393560409546
20831,55913,0.9922116994857788
52857,115883,0.9922018647193909
27486,46225,0.99211186170578
44772,56248,0.9918954372406006
29580,39620,0.9916090369224548
64853,93283,0.9915052652359009
21536,52501,0.9914441108703613
9119,111454,0.9913884401321411
30020,44712,0.9913439750671387
52455,55672,0.9913188219070435
5777,53304,0.9910714626312256
20969,34628,0.9908945560455322
32982,52652,0.9907468557357788
50167,55715,0.9905726909637451
64454,95500,0.9905155301094055
5351,82356,0.9903882741928101
20681,27388,0.9902209043502808
41834,52020,0.9902176260948181
41111,82604,0.9899909496307373
1388,43066,0.9897297620773315
11571,22639,0.9897011518478394
53968,115982,0.98969566822052
81344,83468,0.9896918535232544
46224,57172,0.9896268248558044
110866,116119,0.9895391464233398
33807,46954,0.9893776774406433
43463,83997,0.9892349243164062
30803,45011,0.9890213012695312
21992,52591,0.9889689683914185
20518,56697,0.9888660907745361
514,62667,0.9887385368347168
44771,50037,0.988619327545166
5088,22773,0.9884612560272217
41215,96634,0.988426923751831
21581,52672,0.9883488416671753
30317,58031,0.9881714582443237
31702,45561,0.9880794286727905
47075,60263,0.9879864454269409
51471,117046,0.9879108667373657
27192,30476,0.987852931022644
65770,88051,0.9877757430076599
897,41286,0.9877597689628601
51163,111434,0.9876396059989929
3894,116318,0.9876013994216919
81103,83802,0.9875946044921875
6797,52925,0.9875789284706116
45227,56117,0.9874535202980042
64415,94173,0.9873523712158203
111388,116953,0.9872567653656006
32743,52006,0.987214207649231
78996,82614,0.9871939420700073
33525,53437,0.9870615005493164
76273,97514,0.98697829246521
27158,29927,0.9869662523269653
8147,32707,0.9869296550750732
62844,89388,0.9866196513175964
78596,89029,0.986598789691925
27525,46520,0.9864848852157593
65988,95281,0.986402153968811
49921,55972,0.9863371253013611
34436,47429,0.9863079190254211
8645,58691,0.9862979054450989
21271,51869,0.9860525131225586
22101,78992,0.9860019683837891
45088,59937,0.985876202583313
44723,57396,0.9858445525169373
23910,80975,0.9858239889144897
52910,55495,0.9857548475265503
22161,51839,0.9856492280960083
30217,50104,0.9856467247009277
41052,57813,0.9855293035507202
21460,32785,0.985251784324646
64661,93209,0.9851483106613159
46161,57734,0.9850503206253052
27408,31457,0.984926700592041
30274,55650,0.9848291873931885
80276,85575,0.9847218990325928
46179,57775,0.9846453666687012
21764,53204,0.9846017956733704
50163,58989,0.984444260597229
57510,116892,0.9843577742576599
59614,116873,0.9843192100524902
62888,89518,0.9843041896820068
21543,52519,0.9842597842216492
7,47854,0.9842303991317749
30202,50097,0.9841811656951904
20438,43196,0.9841220378875732
110835,116085,0.9840725064277649
77876,90972,0.983726978302002
54589,110912,0.9836481809616089
22335,58211,0.983622670173645
22838,59820,0.9835324287414551
203,1693,0.9834184646606445
44805,59673,0.9834131002426147
110855,115981,0.9832577109336853
2504,27360,0.9832150936126709
77031,86267,0.983153223991394
51516,111526,0.9830276966094971
52541,116670,0.9828221797943115
31145,80006,0.9827996492385864
21454,111052,0.9827896356582642
11455,80675,0.9826955795288086
80631,84872,0.9825767278671265
20155,56429,0.9825637340545654
6211,53120,0.982428789138794
51510,58943,0.9823330640792847
44920,50293,0.9823094606399536
10974,58721,0.9822597503662109
43665,81303,0.9822556376457214
21263,32534,0.982239842414856
44724,58162,0.9821824431419373
9515,51400,0.9821451902389526
8043,57789,0.982135534286499
22221,32333,0.9820232391357422
43473,55672,0.9819285273551941
43675,50001,0.9818422198295593
45431,51088,0.9817063212394714
33531,53460,0.9816906452178955
29962,46827,0.9816708564758301
78687,82666,0.9814714193344116
20244,55607,0.9811936020851135
